,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
8/1/2026,8600003,86,TRT PTF VITAFOAM 270226,8/1/2026,2504441,9/3/2026,!,,"64976268,48",!,,,
,,,Solde … fin,12/26 ..,..........,.......,,,"64976268,48",!,,64976268,","
Compte :,411000,,01938       INTERPHARMA,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
6/1/2026,8500002,85,CHQ PTF INTERPHARMA,6/1/2026,,6/1/2026,!,,"14310594,36",!,,,
12/1/2026,34,10,FACTURE 2600024    /25C1665,8/1/2026,2600024,8/1/2026,!,1498665,,!,,,
12/1/2026,38,10,FACTURE 2600025    /25C1664,8/1/2026,2600025,8/1/2026,!,"1499523,9",,!,,,
,,,Solde … fin,12/26 ..,..........,.......,,"2998188,9","14310594,36",!,,11312405,","
========,========,====,===============================,========,==========,========,=,==============,=============,=,==============,===========,=
ET468,,,,G R A,N D - L I,V R E,,A U X I L I,A I R E,,le 14/01/26,… 17:03:0,0
TRANSIT,TRANSPOR,T ET,TRRAT,-----,----------,--------,-,--------------,-------,,P,age :   000,5
PERIODE,DE   1/2,6 …,déc.-26,,,,,,,,,,
========,========,====,===============================,========,==========,========,=,==============,=============,=,==============,===========,=
Date,,Cod,e,Date,,Date,!,,,!,,Nø lettrag,e
Comptabl,e PiŠce,Jrn,Libell‚,Facture,R‚f‚rence,Ech‚ance,!,D‚bit,Cr‚dit,!,Solde d‚bite,ur/cr‚diteu,r
========,========,====,===============================,========,==========,========,!,==============,=============,!,==============,===========,=
Compte :,411000,,02007       ROYAL GLASS MADAGAS,CAR,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
8/1/2026,8600003,86,TRT PTF RGM 170226,8/1/2026,2504295,9/3/2026,!,,"3728458,69",!,,,
8/1/2026,8600003,86,TRT PTF RGM 170226,8/1/2026,2504293,9/3/2026,!,,"3749625,36",!,,,
8/1/2026,8600003,86,TRT PTF RGM 230126,8/1/2026,2404354,9/3/2026,!,,"6366666,88",!,,,
8/1/2026,8600003,86,TRT PTF RGM 200226,8/1/2026,2504347,9/3/2026,!,,"930135,4",!,,,
,,,Solde … fin,12/26 ..,..........,.......,,,"14774886,33",!,,14774886,","
Compte :,411000,,02231       KALIANA SARL,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
